Training-Test-Split,Aktivierungsfunktion,Trainingsdurchgang,Trainingszeit,validation accuracy,test accuracy
50-50,tanh,1,111.5,0.9903,0.9653
70-30,tanh,1,127.2,0.976,0.9359
90-10,tanh,1,144.5,0.9921,0.9687
50-50,sigmoid,1,104.3,0.7948,0.7663
70-30,sigmoid,1,119.8,0.8325,0.8184
90-10,sigmoid,1,150.0,0.7248,0.6817
50-50,relu,1,101.7,0.982,0.9507
70-30,relu,1,118.9,0.9912,0.963
90-10,relu,1,139.4,0.9949,0.9734
50-50,tanh,2,108.2,0.9798,0.9518
70-30,tanh,2,129.2,0.9838,0.9503
90-10,tanh,2,146.0,0.9946,0.9689
50-50,sigmoid,2,106.0,0.8549,0.8037
70-30,sigmoid,2,122.4,0.9203,0.8873
90-10,sigmoid,2,139.6,0.9281,0.8948
50-50,relu,2,105.5,0.9906,0.9641
70-30,relu,2,118.2,0.9739,0.9352
90-10,relu,2,134.9,0.9821,0.9369
50-50,tanh,3,92.0,0.9756,0.9496
70-30,tanh,3,98.0,0.9831,0.9593
90-10,tanh,3,116.1,0.9913,0.9589
50-50,sigmoid,3,97.4,0.8194,0.7867
70-30,sigmoid,3,125.3,0.7594,0.729
90-10,sigmoid,3,113.9,0.9309,0.8886
50-50,relu,3,85.8,0.9872,0.9609
70-30,relu,3,100.6,0.9927,0.97
90-10,relu,3,124.9,0.9959,0.9736
50-50,tanh,4,92.9,0.9774,0.9587
70-30,tanh,4,109.7,0.9891,0.9628
90-10,tanh,4,125.1,0.9898,0.9638
50-50,sigmoid,4,93.8,0.7299,0.6896
70-30,sigmoid,4,108.9,0.6957,0.6709
90-10,sigmoid,4,123.9,0.6955,0.6504
50-50,relu,4,92.5,0.9932,0.9602
70-30,relu,4,109.3,0.9921,0.9634
90-10,relu,4,121.4,0.9911,0.9694
50-50,tanh,5,94.9,0.986,0.9562
70-30,tanh,5,108.4,0.9889,0.9685
90-10,tanh,5,123.1,0.9594,0.9445
50-50,sigmoid,5,91.2,0.705,0.6838
70-30,sigmoid,5,110.6,0.8628,0.841
90-10,sigmoid,5,112.2,0.9087,0.8875
50-50,relu,5,86.5,0.9934,0.9719
70-30,relu,5,99.2,0.9947,0.9728
90-10,relu,5,110.5,0.9916,0.9662
50-50,tanh,6,88.4,0.987,0.9608
70-30,tanh,6,99.1,0.9647,0.9303
90-10,tanh,6,113.5,0.9908,0.9641
50-50,sigmoid,6,97.5,0.7863,0.7688
70-30,sigmoid,6,100.0,0.9682,0.9433
90-10,sigmoid,6,112.0,0.6195,0.5914
50-50,relu,6,85.5,0.9919,0.9694
70-30,relu,6,98.0,0.9844,0.9606
90-10,relu,6,114.0,0.9952,0.9739
50-50,tanh,7,89.3,0.9853,0.9563
70-30,tanh,7,101.3,0.9878,0.9644
90-10,tanh,7,112.0,0.9819,0.9498
50-50,sigmoid,7,88.7,0.8095,0.7678
70-30,sigmoid,7,102.2,0.9427,0.9078
90-10,sigmoid,7,116.6,0.812,0.7912
50-50,relu,7,95.7,0.9939,0.9629
70-30,relu,7,103.4,0.9792,0.9492
90-10,relu,7,121.2,0.9921,0.9654
50-50,tanh,8,90.7,0.9618,0.9306
70-30,tanh,8,108.5,0.9848,0.9574
90-10,tanh,8,117.5,0.9944,0.9698
50-50,sigmoid,8,101.6,0.8688,0.8472
70-30,sigmoid,8,111.8,0.5828,0.5719
90-10,sigmoid,8,111.8,0.8437,0.8096
50-50,relu,8,93.0,0.9874,0.9485
70-30,relu,8,99.2,0.9867,0.961
90-10,relu,8,110.3,0.9949,0.972
50-50,tanh,9,87.2,0.984,0.9537
70-30,tanh,9,99.5,0.9936,0.9681
90-10,tanh,9,111.5,0.9862,0.9618
50-50,sigmoid,9,87.1,0.7085,0.668
70-30,sigmoid,9,110.8,0.7439,0.7192
90-10,sigmoid,9,112.2,0.9128,0.8802
50-50,relu,9,86.4,0.9838,0.9535
70-30,relu,9,98.4,0.9881,0.9587
90-10,relu,9,109.7,0.9918,0.9599
50-50,tanh,10,88.3,0.9858,0.9576
70-30,tanh,10,98.3,0.9874,0.9546
90-10,tanh,10,109.0,0.9913,0.9679
50-50,sigmoid,10,86.3,0.7728,0.73
70-30,sigmoid,10,96.7,0.8461,0.8141
90-10,sigmoid,10,110.8,0.8199,0.8021
50-50,relu,10,83.1,0.9784,0.9378
70-30,relu,10,95.1,0.9943,0.9603
90-10,relu,10,107.9,0.9946,0.9736
50-50,tanh,11,85.3,0.9825,0.9528
70-30,tanh,11,101.1,0.9859,0.9634
90-10,tanh,11,112.6,0.9929,0.9733
50-50,sigmoid,11,89.2,0.7418,0.7101
70-30,sigmoid,11,101.0,0.6513,0.6321
90-10,sigmoid,11,113.6,0.8845,0.8493
50-50,relu,11,87.7,0.9941,0.9674
70-30,relu,11,98.6,0.9894,0.9599
90-10,relu,11,111.0,0.9865,0.9595
50-50,tanh,12,88.1,0.9919,0.966
70-30,tanh,12,100.9,0.9901,0.9557
90-10,tanh,12,123.1,0.9939,0.9663
50-50,sigmoid,12,105.5,0.6832,0.6671
70-30,sigmoid,12,99.9,0.8961,0.8705
90-10,sigmoid,12,112.5,0.9204,0.9015
50-50,relu,12,86.9,0.9879,0.9618
70-30,relu,12,100.0,0.9964,0.97
90-10,relu,12,111.3,0.9964,0.9762
50-50,tanh,13,89.8,0.9833,0.9623
70-30,tanh,13,100.9,0.9773,0.9597
90-10,tanh,13,113.0,0.9821,0.9519
50-50,sigmoid,13,87.9,0.9174,0.8744
70-30,sigmoid,13,100.9,0.6292,0.5877
90-10,sigmoid,13,111.4,0.9745,0.9504
50-50,relu,13,84.7,0.9916,0.9659
70-30,relu,13,97.3,0.9901,0.9729
90-10,relu,13,108.6,0.9916,0.9656
50-50,tanh,14,86.8,0.9693,0.9394
70-30,tanh,14,98.4,0.9903,0.969
90-10,tanh,14,110.0,0.9903,0.9675
50-50,sigmoid,14,86.7,0.8683,0.8466
70-30,sigmoid,14,97.6,0.7433,0.6982
90-10,sigmoid,14,110.0,0.7261,0.6912
50-50,relu,14,84.3,0.9901,0.9728
70-30,relu,14,95.2,0.994,0.977
90-10,relu,14,109.4,0.9941,0.9623
50-50,tanh,15,87.2,0.9895,0.9563
70-30,tanh,15,98.1,0.99,0.9612
90-10,tanh,15,109.7,0.9946,0.9668
50-50,sigmoid,15,90.5,0.7694,0.7385
70-30,sigmoid,15,99.5,0.8569,0.8301
90-10,sigmoid,15,110.8,0.8908,0.8736
50-50,relu,15,84.4,0.987,0.9621
70-30,relu,15,95.9,0.9881,0.9604
90-10,relu,15,108.5,0.9931,0.9801
50-50,tanh,16,87.0,0.9824,0.9534
70-30,tanh,16,99.6,0.9859,0.9622
90-10,tanh,16,112.0,0.9888,0.9622
50-50,sigmoid,16,86.9,0.5965,0.5694
70-30,sigmoid,16,99.4,0.9386,0.923
90-10,sigmoid,16,115.3,0.8773,0.8568
50-50,relu,16,84.4,0.9929,0.968
70-30,relu,16,96.6,0.9892,0.9561
90-10,relu,16,108.9,0.9934,0.9717
50-50,tanh,17,87.8,0.9862,0.9568
70-30,tanh,17,99.1,0.981,0.9524
90-10,tanh,17,110.2,0.9941,0.9731
50-50,sigmoid,17,87.5,0.7221,0.6884
70-30,sigmoid,17,98.6,0.894,0.875
90-10,sigmoid,17,110.7,0.7307,0.6943
50-50,relu,17,84.1,0.9912,0.9597
70-30,relu,17,105.4,0.9946,0.972
90-10,relu,17,109.0,0.9929,0.9717
50-50,tanh,18,87.5,0.9876,0.9662
70-30,tanh,18,98.8,0.9613,0.9348
90-10,tanh,18,109.9,0.9908,0.964
50-50,sigmoid,18,86.8,0.6923,0.6478
70-30,sigmoid,18,99.1,0.9542,0.9247
90-10,sigmoid,18,118.3,0.9702,0.9419
50-50,relu,18,85.4,0.9931,0.9727
70-30,relu,18,96.2,0.9967,0.9725
90-10,relu,18,109.0,0.9946,0.9648
50-50,tanh,19,87.8,0.9851,0.9505
70-30,tanh,19,98.6,0.9788,0.9575
90-10,tanh,19,109.4,0.9921,0.9707
50-50,sigmoid,19,86.9,0.79,0.7605
70-30,sigmoid,19,99.1,0.7934,0.749
90-10,sigmoid,19,110.5,0.7243,0.6886
50-50,relu,19,84.8,0.9908,0.9637
70-30,relu,19,96.1,0.9917,0.9645
90-10,relu,19,108.7,0.998,0.977
50-50,tanh,20,86.5,0.9881,0.9602
70-30,tanh,20,99.5,0.9929,0.9757
90-10,tanh,20,111.0,0.9888,0.9647
50-50,sigmoid,20,87.2,0.8105,0.7793
70-30,sigmoid,20,98.6,0.8561,0.8026
90-10,sigmoid,20,110.1,0.7756,0.7435
50-50,relu,20,84.5,0.9916,0.9626
70-30,relu,20,97.3,0.9929,0.9729
90-10,relu,20,109.2,0.986,0.9578
50-50,tanh,21,86.2,0.9843,0.9568
70-30,tanh,21,99.2,0.9816,0.9455
90-10,tanh,21,110.4,0.9883,0.9553
50-50,sigmoid,21,87.3,0.6102,0.596
70-30,sigmoid,21,98.9,0.9391,0.9138
90-10,sigmoid,21,110.0,0.7223,0.7001
50-50,relu,21,84.4,0.9862,0.9544
70-30,relu,21,102.3,0.9923,0.963
90-10,relu,21,109.1,0.9962,0.9778
50-50,tanh,22,86.6,0.9881,0.966
70-30,tanh,22,99.1,0.9889,0.9654
90-10,tanh,22,111.0,0.9847,0.9524
50-50,sigmoid,22,87.3,0.9437,0.9069
70-30,sigmoid,22,98.2,0.9167,0.8928
90-10,sigmoid,22,111.2,0.9067,0.8891
50-50,relu,22,85.1,0.9816,0.9531
70-30,relu,22,95.9,0.9875,0.9589
90-10,relu,22,108.6,0.9941,0.964
50-50,tanh,23,87.3,0.9875,0.9617
70-30,tanh,23,99.0,0.967,0.9446
90-10,tanh,23,111.2,0.9934,0.9677
50-50,sigmoid,23,87.3,0.7609,0.7397
70-30,sigmoid,23,98.1,0.8151,0.7945
90-10,sigmoid,23,110.3,0.723,0.692
50-50,relu,23,83.7,0.9895,0.9597
70-30,relu,23,96.9,0.9837,0.9572
90-10,relu,23,108.7,0.9957,0.9634
50-50,tanh,24,87.3,0.9856,0.9612
70-30,tanh,24,97.5,0.9911,0.9679
90-10,tanh,24,111.9,0.9913,0.9739
50-50,sigmoid,24,90.1,0.6592,0.6276
70-30,sigmoid,24,99.4,0.8908,0.8736
90-10,sigmoid,24,111.1,0.9217,0.906
50-50,relu,24,83.9,0.9929,0.9663
70-30,relu,24,96.3,0.9946,0.9663
90-10,relu,24,108.6,0.9936,0.9685
50-50,tanh,25,95.4,0.9891,0.9627
70-30,tanh,25,99.9,0.9806,0.9459
90-10,tanh,25,111.6,0.9839,0.9745
50-50,sigmoid,25,87.4,0.855,0.8385
70-30,sigmoid,25,99.1,0.8381,0.7945
90-10,sigmoid,25,110.9,0.9186,0.8828
50-50,relu,25,84.5,0.9952,0.9754
70-30,relu,25,96.8,0.9935,0.9721
90-10,relu,25,109.3,0.9867,0.953
50-50,tanh,26,87.3,0.9812,0.9562
70-30,tanh,26,99.0,0.9826,0.9583
90-10,tanh,26,110.5,0.9929,0.9689
50-50,sigmoid,26,87.0,0.8771,0.8477
70-30,sigmoid,26,99.3,0.7026,0.6801
90-10,sigmoid,26,111.1,0.8768,0.8678
50-50,relu,26,85.2,0.9917,0.9589
70-30,relu,26,96.8,0.974,0.9494
90-10,relu,26,109.1,0.9885,0.9667
50-50,tanh,27,87.0,0.937,0.9105
70-30,tanh,27,98.1,0.9897,0.969
90-10,tanh,27,111.2,0.9847,0.9617
50-50,sigmoid,27,88.3,0.6635,0.6314
70-30,sigmoid,27,99.2,0.8868,0.8555
90-10,sigmoid,27,109.8,0.9199,0.8939
50-50,relu,27,85.8,0.9492,0.912
70-30,relu,27,96.6,0.9894,0.9659
90-10,relu,27,109.3,0.9908,0.9657
50-50,tanh,28,87.6,0.9819,0.9606
70-30,tanh,28,98.8,0.9719,0.9469
90-10,tanh,28,117.0,0.9939,0.9596
50-50,sigmoid,28,87.3,0.7902,0.7454
70-30,sigmoid,28,98.9,0.9592,0.93
90-10,sigmoid,28,111.3,0.8327,0.7998
50-50,relu,28,85.1,0.9834,0.9434
70-30,relu,28,96.5,0.9901,0.9732
90-10,relu,28,109.4,0.9929,0.9603
50-50,tanh,29,88.4,0.982,0.9541
70-30,tanh,29,99.6,0.981,0.9496
90-10,tanh,29,111.1,0.9911,0.9705
50-50,sigmoid,29,92.1,0.7248,0.6713
70-30,sigmoid,29,99.9,0.8515,0.8196
90-10,sigmoid,29,111.1,0.8544,0.8016
50-50,relu,29,84.6,0.975,0.9467
70-30,relu,29,96.8,0.9853,0.948
90-10,relu,29,110.6,0.9921,0.9687
50-50,tanh,30,87.7,0.9857,0.956
70-30,tanh,30,98.6,0.9886,0.9649
90-10,tanh,30,109.9,0.9811,0.9542
50-50,sigmoid,30,88.0,0.8602,0.836
70-30,sigmoid,30,100.5,0.5282,0.5222
90-10,sigmoid,30,110.8,0.8975,0.8527
50-50,relu,30,84.6,0.966,0.9241
70-30,relu,30,96.5,0.9886,0.9584
90-10,relu,30,109.4,0.9949,0.9741
50-50,tanh,31,87.0,0.9858,0.9591
70-30,tanh,31,99.5,0.9938,0.9717
90-10,tanh,31,112.9,0.9901,0.9594
50-50,sigmoid,31,90.6,0.6502,0.6203
70-30,sigmoid,31,102.7,0.8914,0.861
90-10,sigmoid,31,110.7,0.7876,0.7615
50-50,relu,31,85.4,0.9891,0.9646
70-30,relu,31,99.4,0.9909,0.9635
90-10,relu,31,109.0,0.9926,0.9693
50-50,tanh,32,86.8,0.9863,0.9647
70-30,tanh,32,98.6,0.987,0.9673
90-10,tanh,32,111.3,0.9888,0.9682
50-50,sigmoid,32,87.8,0.8881,0.8701
70-30,sigmoid,32,100.1,0.8357,0.8247
90-10,sigmoid,32,111.4,0.9018,0.8706
50-50,relu,32,84.8,0.9812,0.9449
70-30,relu,32,97.1,0.9926,0.97
90-10,relu,32,108.8,0.9954,0.9725
50-50,tanh,33,88.0,0.9883,0.9659
70-30,tanh,33,98.5,0.9803,0.9491
90-10,tanh,33,112.1,0.9883,0.9586
50-50,sigmoid,33,86.7,0.6922,0.6576
70-30,sigmoid,33,98.5,0.9218,0.8942
90-10,sigmoid,33,110.8,0.8424,0.8207
50-50,relu,33,84.3,0.9925,0.9584
70-30,relu,33,96.2,0.9921,0.9689
90-10,relu,33,110.1,0.9969,0.9762
50-50,tanh,34,87.4,0.9884,0.9616
70-30,tanh,34,98.4,0.984,0.9504
90-10,tanh,34,110.5,0.9926,0.9666
50-50,sigmoid,34,88.2,0.7036,0.6998
70-30,sigmoid,34,99.2,0.8461,0.8247
90-10,sigmoid,34,118.4,0.9781,0.9401
50-50,relu,34,85.9,0.9926,0.9641
70-30,relu,34,97.1,0.9948,0.9664
90-10,relu,34,109.2,0.9974,0.9768
50-50,tanh,35,87.3,0.9435,0.9141
70-30,tanh,35,99.2,0.9901,0.9697
90-10,tanh,35,110.2,0.9867,0.9662
50-50,sigmoid,35,87.0,0.6708,0.658
70-30,sigmoid,35,99.1,0.7795,0.7496
90-10,sigmoid,35,111.3,0.8653,0.8329
50-50,relu,35,85.2,0.9943,0.9648
70-30,relu,35,96.7,0.9947,0.9733
90-10,relu,35,110.0,0.9916,0.9746
50-50,tanh,36,87.4,0.9864,0.9652
70-30,tanh,36,100.1,0.9911,0.9695
90-10,tanh,36,110.9,0.9908,0.9621
50-50,sigmoid,36,86.6,0.7177,0.7076
70-30,sigmoid,36,99.1,0.7362,0.7188
90-10,sigmoid,36,110.7,0.9204,0.8866
50-50,relu,36,86.7,0.9864,0.9649
70-30,relu,36,96.9,0.9939,0.9718
90-10,relu,36,109.6,0.9888,0.9648
50-50,tanh,37,87.3,0.991,0.9614
70-30,tanh,37,99.6,0.9905,0.9652
90-10,tanh,37,111.5,0.9926,0.9727
50-50,sigmoid,37,87.8,0.9087,0.8713
70-30,sigmoid,37,98.8,0.9172,0.893
90-10,sigmoid,37,111.2,0.7712,0.7238
50-50,relu,37,84.8,0.9918,0.9614
70-30,relu,37,104.1,0.987,0.9596
90-10,relu,37,110.5,0.9911,0.9598
50-50,tanh,38,86.9,0.9881,0.9607
70-30,tanh,38,99.6,0.9892,0.9658
90-10,tanh,38,110.5,0.9934,0.9755
50-50,sigmoid,38,87.8,0.8801,0.8471
70-30,sigmoid,38,102.6,0.8163,0.7784
90-10,sigmoid,38,115.3,0.8368,0.8086
50-50,relu,38,88.5,0.9761,0.9403
70-30,relu,38,100.3,0.9918,0.9648
90-10,relu,38,113.2,0.9939,0.963
50-50,tanh,39,89.6,0.987,0.961
70-30,tanh,39,101.4,0.9895,0.9623
